time	L1	L2	L3	L4
2018-01-28 15:00:00	117	99	87	102
2018-01-28 15:00:00	117	99	87	102
2018-01-28 15:00:00	117	99	87	102
2018-01-28 15:00:00	117	99	87	102
2018-01-28 15:30:00	117	99	87	102
2018-01-28 15:30:00	117	99	87	102
2018-01-28 15:30:00	117	99	87	102
2018-01-28 15:30:00	117	99	87	102
2018-01-28 16:00:00	117	99	86	102
2018-01-28 16:00:00	117	99	86	102
2018-01-28 16:00:00	117	99	86	102
2018-01-28 16:00:00	117	99	86	102
2018-01-28 16:30:00	116	99	86	102
2018-01-28 16:30:00	116	99	86	102
2018-01-28 16:30:00	116	99	86	102
2018-01-28 16:30:00	116	99	86	102
2018-01-28 17:00:00	116	99	86	102
2018-01-28 17:00:00	116	99	86	102
2018-01-28 17:00:00	116	99	86	102
2018-01-28 17:00:00	116	99	86	102
2018-01-28 17:30:00	116	99	86	102
2018-01-28 17:30:00	116	99	86	102
2018-01-28 17:30:00	116	99	86	102
2018-01-28 17:30:00	116	99	86	102
2018-01-28 18:00:00	116	99	86	102
2018-01-28 18:00:00	116	99	86	102
2018-01-28 18:00:00	116	99	86	102
2018-01-28 18:00:00	116	99	86	102
2018-01-28 18:30:00	116	99	86	102
2018-01-28 18:30:00	116	99	86	102
2018-01-28 18:30:00	116	99	86	102
2018-01-28 18:30:00	116	99	86	102
2018-01-28 19:00:00	116	99	86	102
2018-01-28 19:00:00	116	99	86	102
2018-01-28 19:00:00	116	99	86	102
2018-01-28 19:00:00	116	99	86	102
2018-01-28 19:30:00	116	99	85	102
2018-01-28 19:30:00	116	99	85	102
2018-01-28 19:30:00	116	99	85	102
2018-01-28 19:30:00	116	99	85	102
2018-01-28 20:00:00	116	99	85	102
2018-01-28 20:00:00	116	99	85	102
2018-01-28 20:00:00	116	99	85	102
2018-01-28 20:00:00	116	99	85	102
2018-01-28 20:30:00	116	99	85	102
2018-01-28 20:30:00	116	99	85	102
2018-01-28 20:30:00	116	99	85	102
2018-01-28 20:30:00	116	99	85	102
2018-01-28 21:00:00	116	99	85	102
2018-01-28 21:00:00	116	99	85	102
2018-01-28 21:00:00	116	99	85	102
2018-01-28 21:00:00	116	99	85	102
2018-01-28 21:30:00	116	99	85	102
2018-01-28 21:30:00	116	99	85	102
2018-01-28 21:30:00	116	99	85	102
2018-01-28 21:30:00	116	99	85	102
2018-01-28 22:00:00	116	99	85	102
2018-01-28 22:00:00	116	99	85	102
2018-01-28 22:00:00	116	99	85	102
2018-01-28 22:00:00	116	99	85	102
2018-01-28 22:30:00	116	99	85	102
2018-01-28 22:30:00	116	99	85	102
2018-01-28 22:30:00	116	99	85	102
2018-01-28 22:30:00	116	99	85	102
2018-01-28 23:00:00	116	99	85	102
2018-01-28 23:00:00	116	99	85	102
2018-01-28 23:00:00	116	99	85	102
2018-01-28 23:00:00	116	99	85	102
2018-01-28 23:30:00	116	99	85	102
2018-01-28 23:30:00	116	99	85	102
2018-01-28 23:30:00	116	99	85	102
2018-01-28 23:30:00	116	99	85	102
2018-01-29 00:00:00	116	99	85	102
2018-01-29 00:00:00	116	99	85	102
