time	L1	L2	L3	L4	L5	L6
2018-01-27 10:00:00	32	86	5	36	22	41
2018-01-27 10:00:00	32	86	5	36	22	41
2018-01-27 10:00:00	32	86	5	36	22	41
2018-01-27 10:00:00	32	86	5	36	22	41
2018-01-27 10:00:00	32	86	5	36	22	41
2018-01-27 10:30:00	32	86	5	36	22	41
2018-01-27 10:30:00	32	86	5	36	22	41
2018-01-27 10:30:00	32	86	5	36	22	41
2018-01-27 10:30:00	32	86	5	36	22	41
2018-01-27 10:30:00	32	86	5	36	22	41
2018-01-27 10:30:00	32	86	5	36	22	41
2018-01-27 11:00:00	33	86	5	36	22	41
2018-01-27 11:00:00	33	86	5	36	22	41
2018-01-27 11:00:00	33	86	5	36	22	41
2018-01-27 11:00:00	33	86	5	36	22	41
2018-01-27 11:00:00	33	86	5	36	22	41
2018-01-27 11:00:00	33	86	5	36	22	41
2018-01-27 11:30:00	33	86	5	36	22	41
2018-01-27 11:30:00	33	86	5	36	22	41
2018-01-27 11:30:00	33	86	5	36	22	41
2018-01-27 11:30:00	33	86	5	36	22	41
2018-01-27 11:30:00	33	86	5	36	22	41
2018-01-27 11:30:00	33	86	5	36	22	41
2018-01-27 12:00:00	33	86	6	36	22	41
2018-01-27 12:00:00	33	86	6	36	22	41
2018-01-27 12:00:00	33	86	6	36	22	41
2018-01-27 12:00:00	33	86	6	36	22	41
2018-01-27 12:00:00	33	86	6	36	22	41
2018-01-27 12:00:00	33	86	6	36	22	41
2018-01-27 12:30:00	33	86	6	36	22	41
2018-01-27 12:30:00	33	86	6	36	22	41
2018-01-27 12:30:00	33	86	6	36	22	41
2018-01-27 12:30:00	33	86	6	36	22	41
2018-01-27 12:30:00	33	86	6	36	22	41
2018-01-27 12:30:00	33	86	6	36	22	41
2018-01-27 13:00:00	33	86	6	36	22	41
2018-01-27 13:00:00	33	86	6	36	22	41
2018-01-27 13:00:00	33	86	6	36	22	41
2018-01-27 13:00:00	33	86	6	36	22	41
2018-01-27 13:00:00	33	86	6	36	22	41
2018-01-27 13:00:00	33	86	6	36	22	41
2018-01-27 13:30:00	33	86	6	36	22	41
2018-01-27 13:30:00	33	86	6	36	22	41
2018-01-27 13:30:00	33	86	6	36	22	41
2018-01-27 13:30:00	33	86	6	36	22	41
2018-01-27 13:30:00	33	86	6	36	22	41
2018-01-27 13:30:00	33	86	6	36	22	41
2018-01-27 14:00:00	33	86	6	36	22	41
2018-01-27 14:00:00	33	86	6	36	22	41
2018-01-27 14:00:00	33	86	6	36	22	41
2018-01-27 14:00:00	33	86	6	36	22	41
2018-01-27 14:00:00	33	86	6	36	22	41
2018-01-27 14:00:00	33	86	6	36	22	41
2018-01-27 14:30:00	34	86	6	36	21	42
2018-01-27 14:30:00	34	86	6	36	21	42
2018-01-27 14:30:00	34	86	6	36	21	42
2018-01-27 14:30:00	34	86	6	36	21	42
2018-01-27 14:30:00	34	86	6	36	21	42
2018-01-27 14:30:00	34	86	6	36	21	42
2018-01-27 15:00:00	34	86	7	36	21	42
2018-01-27 15:00:00	34	86	7	36	21	42
2018-01-27 15:00:00	34	86	7	36	21	42
